OrderID,CustomerID,EmployeeID,ShipperID,OrderDetailID,ProductID,Quantity,month
10319,80,7,3,188,17,8,7
10319,80,7,3,189,28,14,7
10319,80,7,3,190,76,30,7
10320,87,5,3,191,71,30,7
10321,38,3,2,192,35,10,7
10322,58,7,3,193,52,20,7
10323,39,4,1,194,15,5,7
10323,39,4,1,195,25,4,7
10323,39,4,1,196,39,4,7
10324,71,9,1,197,16,21,7
10324,71,9,1,198,35,70,7
10324,71,9,1,199,46,30,7
10324,71,9,1,200,59,40,7
10324,71,9,1,201,63,80,7
10325,39,1,3,202,6,6,7
10325,39,1,3,203,13,12,7
10325,39,1,3,204,14,9,7
10325,39,1,3,205,31,4,7
10325,39,1,3,206,72,40,7
10326,8,4,2,207,4,24,7
10326,8,4,2,208,57,16,7
10326,8,4,2,209,75,50,7
10327,24,2,1,210,2,25,7
10327,24,2,1,211,11,50,7
10327,24,2,1,212,30,35,7
10327,24,2,1,213,58,30,7
10328,28,4,3,214,59,9,7
10328,28,4,3,215,65,40,7
10328,28,4,3,216,68,10,7
10329,75,4,2,217,19,10,7
