OrderID,CustomerID,EmployeeID,ShipperID,OrderDetailID,ProductID,Quantity,month
10294,65,4,2,126,43,15,5
10294,65,4,2,127,60,21,5
10294,65,4,2,128,75,6,5
10295,85,2,2,129,56,4,5
10296,46,6,1,130,11,12,5
10296,46,6,1,131,16,30,5
10296,46,6,1,132,69,15,5
10297,7,5,2,133,39,60,5
10297,7,5,2,134,72,20,5
10298,37,6,2,135,2,40,5
10298,37,6,2,136,36,40,5
10298,37,6,2,137,59,30,5
10298,37,6,2,138,62,15,5
10299,67,4,2,139,19,15,5
10299,67,4,2,140,70,20,5
10300,49,2,2,141,66,30,5
10300,49,2,2,142,68,20,5
10301,86,8,2,143,40,10,5
10301,86,8,2,144,56,20,5
10302,76,4,2,145,17,40,5
10302,76,4,2,146,28,28,5
10302,76,4,2,147,43,12,5
10303,30,7,2,148,40,40,5
10303,30,7,2,149,65,30,5
10303,30,7,2,150,68,15,5
10304,80,1,2,151,49,30,5
10304,80,1,2,152,59,10,5
10304,80,1,2,153,71,2,5
10305,55,8,3,154,18,25,5
10305,55,8,3,155,29,25,5
