OrderID,CustomerID,EmployeeID,ShipperID,OrderDetailID,ProductID,Quantity,month
10283,46,3,3,95,72,3,4
10284,44,4,1,96,27,15,4
10284,44,4,1,97,44,21,4
10284,44,4,1,98,60,20,4
10284,44,4,1,99,67,5,4
10285,63,1,2,100,1,45,4
10285,63,1,2,101,40,40,4
10285,63,1,2,102,53,36,4
10286,63,8,3,103,35,100,4
10286,63,8,3,104,62,40,4
10287,67,8,3,105,16,40,4
10287,67,8,3,106,34,20,4
10287,67,8,3,107,46,15,4
10288,66,4,1,108,54,10,4
10288,66,4,1,109,68,3,4
10289,11,7,3,110,3,30,4
10289,11,7,3,111,64,9,4
10290,15,8,1,112,5,20,4
10290,15,8,1,113,29,15,4
10290,15,8,1,114,49,15,4
10290,15,8,1,115,77,10,4
10291,61,6,2,116,13,20,4
10291,61,6,2,117,44,24,4
10291,61,6,2,118,51,2,4
10292,81,1,2,119,20,20,4
10293,80,1,3,120,18,12,4
10293,80,1,3,121,24,10,4
10293,80,1,3,122,63,5,4
10293,80,1,3,123,75,6,4
10294,65,4,2,124,1,18,4
