OrderID,CustomerID,EmployeeID,ShipperID,OrderDetailID,ProductID,Quantity,month
10329,75,4,2,219,38,20,8
10329,75,4,2,220,56,12,8
10330,46,3,1,221,26,50,8
10330,46,3,1,222,72,25,8
10331,9,9,1,223,54,15,8
10332,51,3,2,224,18,40,8
10332,51,3,2,225,42,10,8
10332,51,3,2,226,47,16,8
10333,87,5,3,227,14,10,8
10333,87,5,3,228,21,10,8
10333,87,5,3,229,71,40,8
10334,84,8,2,230,52,8,8
10334,84,8,2,231,68,10,8
10335,37,7,2,232,2,7,8
10335,37,7,2,233,31,25,8
10335,37,7,2,234,32,6,8
10335,37,7,2,235,51,48,8
10336,60,7,2,236,4,18,8
10337,25,4,3,237,23,40,8
10337,25,4,3,238,26,24,8
10337,25,4,3,239,36,20,8
10337,25,4,3,240,37,28,8
10337,25,4,3,241,72,25,8
10338,55,4,3,242,17,20,8
10338,55,4,3,243,30,15,8
10339,51,2,2,244,4,10,8
10339,51,2,2,245,17,70,8
10339,51,2,2,246,62,28,8
10340,9,1,3,247,18,20,8
10340,9,1,3,248,41,12,8
